modeldb_id,model_name,paper_id,authors,title,journal,year,doi,pubmedid,citation_count,modeldb_model_count,all_paper_ids
93321,Activity dependent conductances in a neuron model  (Liu et al. 1998),12739,"Liu Z, Golowasch J, Marder E, Abbott LF",A model neuron with activity-dependent conductances regulated by multiple calcium sensors.,The Journal of neuroscience : the official journal of the Society for Neuroscience,1998,10.1523/JNEUROSCI.18-07-02309.1998,,267,1,12739
3289,"Pyramidal Neuron Deep: K+ kinetics (Korngreen, Sakmann 2000)",4659,"Korngreen A, Sakmann B",Voltage-gated K+ channels in layer 5 neocortical pyramidal neurones from young rats: subtypes and gradients.,The Journal of physiology,2000,10.1111/j.1469-7793.2000.00621.x,,263,1,4659
112546,CA1 pyramidal neuron: functional significance of axonal Kv7 channels (Shah et al. 2008),114103,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,Proceedings of the National Academy of Sciences of the United States of America,2008,10.1073/pnas.0802805105,,263,1,114103
51781,Dentate gyrus network model (Santhakumar et al 2005),51780,"Santhakumar V, Aradi I, Soltesz I",Role of mossy fiber sprouting and mossy cell loss in hyperexcitability: a network model of the dentate gyrus incorporating cell types and axonal topography.,Journal of neurophysiology,2005,10.1152/jn.00777.2004,,262,2,51780
19491,Dendritic L-type Ca currents in motoneurons (Carlin et al 2000),23451,"Carlin KP, Jones KE, Jiang Z, Jordan LM, Brownstone RM",Dendritic L-type calcium currents in mouse spinal motoneurons: implications for bistability.,The European journal of neuroscience,2000,10.1046/j.1460-9568.2000.00055.x,,261,1,23451
146565,Nonlinear dendritic processing in barrel cortex spiny stellate neurons (Lavzin et al. 2012),146570,"Lavzin M, Rapoport S, Polsky A, Garion L, Schiller J",Nonlinear dendritic processing determines angular tuning of barrel cortex neurons in vivo.,Nature,2012,10.1038/nature11451,,255,1,146570
64195,Stochastic Ih and Na-channels in pyramidal neuron dendrites (Kole et al 2006),64233,"Kole MH, Hallermann S, Stuart GJ","Single Ih channels in pyramidal neuron dendrites: properties, distribution, and impact on action potential output.",The Journal of neuroscience : the official journal of the Society for Neuroscience,2006,10.1523/JNEUROSCI.3664-05.2006,,254,1,64233
135787,"Intracortical synaptic potential modulation by presynaptic somatic potential (Shu et al. 2006, 2007)",114903,"Shu Y, Hasenstaub A, Duque A, Yu Y, McCormick DA",Modulation of intracortical synaptic potentials by presynaptic somatic membrane potential.,Nature,2006,10.1038/nature04720,,254,1,96432|114903
2733,"Olfactory Mitral Cell (Bhalla, Bower 1993)",4675,"Bhalla US, Bower JM",Exploring parameter space in detailed single neuron models: simulations of the mitral and granule cells of the olfactory bulb.,Journal of neurophysiology,1993,10.1152/jn.1993.69.6.1948,,233,2,4675
136803,Biophysically realistic neural modeling of the MEG mu rhythm (Jones et al. 2009),125381,"Jones SR, Pritchett DL, Sikora MA, Stufflebeam SM, Hämäläinen M, Moore CI",Quantitative analysis and biophysically realistic neural modeling of the MEG mu rhythm: rhythmogenesis and modulation of sensory-evoked responses.,Journal of neurophysiology,2009,10.1152/jn.00535.2009,,221,1,125381
19591,Synaptic integration in a model of granule cells (Gabbiani et al 1994),4324,"Gabbiani F, Midtgaard J, Knöpfel T",Synaptic integration in a model of cerebellar granule cells.,Journal of neurophysiology,1994,10.1152/jn.1994.72.2.999,,220,1,4324
98005,D2 dopamine receptor modulation of interneuronal activity (Maurice et al. 2004),80717,"Maurice N, Mercer J, Chan CS, Hernandez-Lopez S, Held J, Tkatch T, Surmeier DJ",D2 dopamine receptor-mediated modulation of voltage-dependent Na+ channels reduces autonomous activity in striatal cholinergic interneurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2004,10.1523/JNEUROSCI.2155-04.2004,,217,1,80717
64167,Dichotomy of action-potential backpropagation in CA1 pyramidal neuron dendrites (Golding et al 2001),3886,"Golding NL, Kath WL, Spruston N",Dichotomy of action-potential backpropagation in CA1 pyramidal neuron dendrites.,Journal of neurophysiology,2001,10.1152/jn.2001.86.6.2998,,216,1,3886
64229,Parallel network simulations with NEURON (Migliore et al 2006),64230,"Migliore M, Cannia C, Lytton WW, Markram H, Hines ML",Parallel network simulations with NEURON.,Journal of computational neuroscience,2006,10.1007/s10827-006-7949-5,,215,1,64230
115356,Axonal NaV1.6 Sodium Channels in AP Initiation of CA1 Pyramidal Neurons (Royeck et al. 2008),114720,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,Journal of neurophysiology,2008,10.1152/jn.90332.2008,,201,1,114720
